source_name,organization,source_url,priority,purpose_category,likely_data_type,likely_geometry,ecosystem_scope,inventory_use,access_notes,status,notes
Naturbase / Marine naturtyper HB19,Miljødirektoratet / Geonorge,https://register.geonorge.no/mottaksordning-innsamling-geodata/marine-naturtyper-hb19,1,extent_polygon,geospatial dataset,polygon,"seagrass; macroalgae","Supplement master_sites with mapped marine nature-type occurrences and extent polygons; likely useful for eelgrass beds and larger kelp forest occurrences.","Look for Geonorge metadata/download/WFS for Marine naturtyper HB19 and filter marine nature-type codes such as larger kelp forest occurrences.",candidate,"Highest-priority supplement because it can turn the inventory from literature points into mapped habitat units."
Geonorge Natur portal,Geonorge,https://www.geonorge.no/kartdata/datasett-i-geonorge/natur2/,1,source_discovery,metadata catalogue,mixed,"seagrass; macroalgae; protected areas; biodiversity","Discovery portal for Norwegian nature datasets including marine data from Miljødirektoratet, HI, NGU, Artsdatabanken and others.","Use catalogue search terms in Norwegian and English: ålegras, ålegraseng, tareskog, marine naturtyper, verneområder.",candidate,"Use as an entry point for official Norwegian geodata before relying on broader European products."
Marine grunnkart i kystsonen,Kartverket / NGU / Havforskningsinstituttet,https://www.kartverket.no/geodataarbeid/marine-grunnkart-i-kystsonen/om-marine-grunnkart-i-kystsonen,1,environmental_driver,geospatial products,mixed,"seagrass; macroalgae","Add site-context variables such as bathymetry, seabed terrain, sediment, bottom hardness, vulnerable habitats, currents, waves, salinity and temperature where pilot-area coverage exists.","Coverage is not national yet; check pilot areas and product services through Kartverket/NGU/HI and Geonorge.",candidate,"Best supplement for restoration suitability and explaining site-level carbon variation where available."
Marine grunnkart product overview,Kartverket / NGU / Havforskningsinstituttet,https://www.kartverket.no/geodataarbeid/marine-grunnkart-i-kystsonen/produktene-som-lages,1,environmental_driver,product documentation,mixed,"seagrass; macroalgae","Identify which Marine grunnkart layers are available and which fields can become standardized site-context attributes.","Use this as documentation for selecting products before ingestion.",candidate,"Products include depth, terrain, sediment maps, anchoring conditions, vulnerable habitats and modeled oceanographic variables."
EMODnet Seabed Habitats,European Marine Observation and Data Network,https://emodnet.ec.europa.eu/en/seabed-habitats,2,habitat_context,geospatial dataset,mixed,"seagrass; macroalgae","Supplement habitat and environmental context using EUSeaMap, survey habitat maps, survey sample points, specific habitat models and essential ocean variable products.","Use EMODnet viewer/catalogue/download services; subset to Norwegian waters and intersect with canonical regions/site points.",candidate,"Useful broader-coverage fallback or complement to Norwegian national layers."
EMODnet Seabed Habitats DataBox,European Marine Observation and Data Network,https://emodnet.ec.europa.eu/en/seabed-habitats-databox,2,habitat_context,geospatial data catalogue,mixed,"seagrass; macroalgae","Find downloadable layers for modeled kelp, seagrass, macroalgal canopy, seabed habitat, light, depth, waves and currents.","Use DataBox to identify exact product names and download options.",candidate,"Good source for modelled habitat layers and environmental variables needed for site screening."
EMODnet Human Activities,European Marine Observation and Data Network,https://emodnet.ec.europa.eu/human-activities,2,pressure_layer,geospatial dataset,mixed,"seagrass; macroalgae","Add spatial pressure overlays for dredging, shipping, aquaculture, cables, pipelines, ports, hydrocarbon extraction and other marine activities.","Use as pressure proxies only; these layers describe activity intensity/location, not direct ecosystem impact.",candidate,"Directly supports roadmap pressure/readiness analysis."
EMODnet Vessel Density Map,European Marine Observation and Data Network / OpenDataSoft,https://data.opendatasoft.com/explore/dataset/emodnet-human-activities-vessel-density-map%40pndb/,2,pressure_layer,raster / gridded AIS density,grid,"seagrass; macroalgae","Calculate vessel-density pressure near inventory sites or mapped habitat polygons by month/year and vessel class.","Download GeoTIFF/grid layers; aggregate to buffers around sites or canonical regions.",candidate,"Useful for shipping and anchoring/disturbance proxy, but not a direct ecological impact measure."
EMODnet Offshore Installations,European Marine Observation and Data Network / OpenDataSoft,https://data.opendatasoft.com/explore/dataset/emodnet-human-activities-oil-and-gas-offshore-installations%40pndb/,2,pressure_layer,point dataset,point,"seagrass; macroalgae","Add proximity/intensity context for offshore oil and gas infrastructure around sites and regions.","Filter to Norway and active/current status where appropriate.",candidate,"Useful for national pressure context; likely less relevant for shallow eelgrass sites than vessel/dredging layers."
Nordic Blue Carbon Project / TemaNord 2020:541,Nordic Council of Ministers / NIVA / partners,https://www.norden.org/en/publication/blue-carbon-climate-adaptation-co2-uptake-and-sequestration-carbon-nordic-blue-forests,1,carbon_synthesis,report / tables,nonspatial,"seagrass; macroalgae; rockweed","Strengthen national and regional synthesis values for extent, carbon budget, carbon stock and sequestration assumptions.","Extract tables carefully into national_summary/regional_summary records with units and uncertainty fields.",candidate,"Already partially represented in the macroalgae workbook; should be normalized more explicitly across all ecosystems."
